name,salary,min_salary,max_salary,currency_salary,link,source
Программист Python,110 000 – 130 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77774266?from=vacancy_search_list&query=python,https://hh.ru/
Team Lead Python,от 400 000 руб.,400000.0,,руб.,https://spb.hh.ru/vacancy/77732509?from=vacancy_search_list&query=python,https://hh.ru/
Python-разработчик,,,,,https://spb.hh.ru/vacancy/77705925?from=vacancy_search_list&query=python,https://hh.ru/
Middle Python developer (Казань),от 160 000 руб.,160000.0,,руб.,https://spb.hh.ru/vacancy/76115939?from=vacancy_search_list&query=python,https://hh.ru/
Junior/Middle Backend-разработчик на Ruby,110 000 – 150 000 руб.,,,руб.,https://spb.hh.ru/vacancy/76964796?from=vacancy_search_list&query=python,https://hh.ru/
Lead Python developer,до 500 000 руб.,,500000.0,руб.,https://spb.hh.ru/vacancy/77337810?from=vacancy_search_list&query=python,https://hh.ru/
Разработчик Python,от 120 000 руб.,120000.0,,руб.,https://spb.hh.ru/vacancy/76076341?from=vacancy_search_list&query=python,https://hh.ru/
Python Developer,,,,,https://spb.hh.ru/vacancy/76597591?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик данных,от 2 000 USD,2000.0,,USD,https://spb.hh.ru/vacancy/77497476?from=vacancy_search_list&query=python,https://hh.ru/
Python разработчик (Middle),,,,,https://spb.hh.ru/vacancy/77731486?from=vacancy_search_list&query=python,https://hh.ru/
Python Developer,,,,,https://spb.hh.ru/vacancy/76843829?from=vacancy_search_list&query=python,https://hh.ru/
Python senior developer (разработчик),от 250 000 руб.,250000.0,,руб.,https://spb.hh.ru/vacancy/76840136?from=vacancy_search_list&query=python,https://hh.ru/
Python разработчик,,,,,https://spb.hh.ru/vacancy/77409819?from=vacancy_search_list&query=python,https://hh.ru/
Python backend-разработчик в команду Data Science,,,,,https://spb.hh.ru/vacancy/77050357?from=vacancy_search_list&query=python,https://hh.ru/
"Ведущий инженер-программист (python, С/C++)",,,,,https://spb.hh.ru/vacancy/76919357?from=vacancy_search_list&query=python,https://hh.ru/
Системный администратор Linux (Казань),от 180 000 руб.,180000.0,,руб.,https://spb.hh.ru/vacancy/76115945?from=vacancy_search_list&query=python,https://hh.ru/
Системный аналитик (systems analyst),от 120 000 руб.,120000.0,,руб.,https://spb.hh.ru/vacancy/77145441?from=vacancy_search_list&query=python,https://hh.ru/
Python разработчик,,,,,https://spb.hh.ru/vacancy/75951525?from=vacancy_search_list&query=python,https://hh.ru/
Преподаватель Python,от 125 000 руб.,125000.0,,руб.,https://spb.hh.ru/vacancy/77083921?from=vacancy_search_list&query=python,https://hh.ru/
Python-разработчик (middle),,,,,https://spb.hh.ru/vacancy/77289628?from=vacancy_search_list&query=python,https://hh.ru/
Системный администратор Linux (Казань),от 180 000 руб.,180000.0,,руб.,https://spb.hh.ru/vacancy/76115945?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик портфеля розничных кредитов,,,,,https://spb.hh.ru/vacancy/76710627?from=vacancy_search_list&query=python,https://hh.ru/
Технический писатель со знанием IT,,,,,https://spb.hh.ru/vacancy/77768450?from=vacancy_search_list&query=python,https://hh.ru/
Специалист службы поддержки с техническими знаниями (TOOLS),15 000 – 39 000 руб.,,,руб.,https://spb.hh.ru/vacancy/73595107?from=vacancy_search_list&query=python,https://hh.ru/
Специалист по информационной безопасности (ФинТех),,,,,https://spb.hh.ru/vacancy/77091039?from=vacancy_search_list&query=python,https://hh.ru/
Специалист по внедрению информационных систем / ГИС-инженер,,,,,https://spb.hh.ru/vacancy/77496843?from=vacancy_search_list&query=python,https://hh.ru/
Преподаватель Python,от 125 000 руб.,125000.0,,руб.,https://spb.hh.ru/vacancy/77083921?from=vacancy_search_list&query=python,https://hh.ru/
Педагог (преподаватель) по программированию,от 22 000 руб.,22000.0,,руб.,https://spb.hh.ru/vacancy/77650562?from=vacancy_search_list&query=python,https://hh.ru/
Младший системный администратор,от 30 000 руб.,30000.0,,руб.,https://spb.hh.ru/vacancy/77383024?from=vacancy_search_list&query=python,https://hh.ru/
Специалист по Data Science,,,,,https://spb.hh.ru/vacancy/77484387?from=vacancy_search_list&query=python,https://hh.ru/
Инженер по внедрению и техподдержке телекоммуникационного биллинга (удаленно),до 170 000 руб.,,170000.0,руб.,https://spb.hh.ru/vacancy/77611405?from=vacancy_search_list&query=python,https://hh.ru/
Python разработчик,,,,,https://spb.hh.ru/vacancy/75951525?from=vacancy_search_list&query=python,https://hh.ru/
Специалист службы поддержки с техническими знаниями (Волкер),15 000 – 39 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77489037?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик sql,,,,,https://spb.hh.ru/vacancy/77414687?from=vacancy_search_list&query=python,https://hh.ru/
Ведущий Python-developer,240 000 – 300 000 руб.,,,руб.,https://spb.hh.ru/vacancy/76726067?from=vacancy_search_list&query=python,https://hh.ru/
Кредитный аналитик Sql,,,,,https://spb.hh.ru/vacancy/77416119?from=vacancy_search_list&query=python,https://hh.ru/
